!Women Art Revolution (2010) |   3 stars, 1hr 22m
#1 Cheerleader Camp (2010) |   3 stars, 1hr 35m
$5 a Day (2008) |   3.4 stars, 1hr 37m
The Kids in the Hall (1989-1993) |   3.8 stars, 5 Seasons
The Kill Point (2007) |   3.8 stars, 8 Episodes
The Killer Inside Me (2010) |   3.1 stars, 1hr 49m
The Killer is Loose (1956) |   3.2 stars, 1hr 13m
The Killing (2011) |   4.2 stars, 1 Season
The Killing Jar (2010) |   3.4 stars, 1hr 30m
The Killing Kind (2001) |   3 stars, 1hr 38m
The King and Four Queens (1956) |   3.4 stars, 1hr 24m
The King of Fighters (2010) |   2.9 stars, 1hr 32m
The King of Love (1987) |   , 1hr 34m
The Kingston High (2001) |   3 stars, 1hr 34m
The Kiss You Gave Me (2000) |   2.6 stars, 1hr 31m
The Kitchen Toto (1987) |   3 stars, 1hr 35m
The Kite Runner (2007) |   3.9 stars, 2hr 7m
The Knack...and How to Get It (1965) |   2.7 stars, 1hr 25m
The Krays (1990) |   3.3 stars, 2hr
The Lady Eve (1941) |   3.7 stars, 1hr 34m
The Lady from Lisbon (1942) |   , 1hr 15m
The Lady Iron Chef (2007) |   2.9 stars, 1hr 40m
The Lady Vanishes (1938) |   3.7 stars, 1hr 36m
The Lake Effect (2010) |   3.5 stars, 1hr 33m
The Lamp (2011) |   4 stars, 1hr 36m
The Land Before Time: The Wisdom of Friends (2007) |   3.6 stars, 1hr 15m
The Land Before Time II: The Great Valley Adventure (1994) |   3.7 stars, 1hr 12m
The Land Before Time III: The Time of the Great Giving (1995) |   3.7 stars, 1hr 10m
The Land Before Time IX: Journey to Big Water (2002) |   3.7 stars, 1hr 14m
The Land Before Time V: The Mysterious Island (1997) |   3.7 stars, 1hr 10m
The Land Before Time VII: Stone of Cold Fire (2000) |   3.6 stars, 1hr 14m
The Land Before Time X: The Great Longneck Migration (2003) |   3.7 stars, 1hr 24m
The Land Before Time XI: The Invasion of the Tinysauruses (2004) |   3.6 stars, 1hr 20m
The Land Before Time XII: The Great Day of the Flyers (2007) |   3.7 stars, 1hr 20m
The Landlady (1998) |   3 stars, 1hr 35m
The Landlord (1970) |   3.3 stars, 1hr 50m
The Langoliers (1995) |   3.3 stars, 2hr 59m
The Laramie Trail (1944) |   2.9 stars, 53m
The Large Rope (1953) |   2.9 stars, 1hr 11m
The Larry Sanders Show (1992-1998) |   3.6 stars, 6 Seasons
The Last Airbender (2010) |   3.3 stars, 1hr 43m
The Last Circus (2010) |   3.3 stars, 1hr 45m
The Last Days of Frankie the Fly (1997) |   3.2 stars, 1hr 35m
The Last Days of the World (2011) |   2.7 stars, 1hr 35m
The Last Days of World War II (2005) |   4.1 stars, 26 Episodes
The Last Detective (2003-2006) |   3.7 stars, 4 Series
The Last Emperor (1987) |   3.9 stars, 2hr 42m
The Last Escape (1970) |   3.3 stars, 1hr 30m
The Last Exorcism (2010) |   3 stars, 1hr 27m
The Last Godfather (2010) |   2.7 stars, 1hr 40m
The Last Hand (1997) |   2.6 stars, 1hr 29m
The Last Hour (2008) |   2.7 stars, 1hr 35m
The Last House on the Left (1972) |   3.2 stars, 1hr 24m
The Last Hurrah (2010) |   , 1hr 29m
The Last Kiss (2001) |   3.3 stars, 1hr 58m
The Last Laugh (1924) |   3.7 stars, 1hr 30m
The Last Lovecraft: Relic of Cthulhu (2009) |   3.1 stars, 1hr 18m
The Last Lullaby (2009) |   3.3 stars, 1hr 33m
The Last Man on Earth (1964) |   3.6 stars, 1hr 27m
The Last Mile (1959) |   2.4 stars, 1hr 22m
The Last Mogul: The Life and Times of Lew Wasserman (2005) |   3.5 stars, 1hr 42m
The Last Mountain (2011) |   4 stars, 1hr 35m
The Last Remake of Beau Geste (1977) |   3 stars, 1hr 24m
The Last Rites of Joe May (2011) |   3.3 stars, 1hr 47m
The Last September (1999) |   3 stars, 1hr 43m
The Last Time I Saw Archie (1961) |   3.1 stars, 1hr 38m
The Last Time I Saw Paris (1954) |   3.2 stars, 1hr 55m
The Last Train (2006) |   3.9 stars, 1hr 58m
The Last Word (2008) |   3.1 stars, 1hr 33m
The Lather Effect (2007) |   3 stars, 1hr 35m
The Law Rides Again (1943) |   3 stars, 56m
The Lawless (1950) |   , 1hr 22m
The Lawless Eighties (1957) |   3.2 stars, 1hr 10m
The Lawless Nineties (1936) |   3.4 stars, 55m
The Lawyer (1970) |   3.1 stars, 1hr 59m
The Lazarus Project (2008) |   3.5 stars, 1hr 39m
The League (2009-2010) |   4.3 stars, 2 Seasons
The Leathernecks Have Landed (1936) |   2.8 stars, 1hr 8m
The Legend of Bigfoot (1976) |   3 stars, 1hr 14m
The Legend of Bloody Jack (2007) |   2.6 stars, 1hr 24m
The Legend of Hell's Gate: An American Conspiracy (2011) |   3 stars, 1hr 46m
The Legend of Hell House (1973) |   3.3 stars, 1hr 33m
The Legend of Lucy Keyes (2006) |   3.3 stars, 1hr 35m
The Legend of Pancho Barnes and the Happy Bottom Riding Club (2009) |   3.9 stars, 1hr 4m
The Legend of Tillamook's Gold (2006) |   3.3 stars, 1hr 47m
The Legends of Rock 'n' Roll (1989) |   3.5 stars, 58m
The Libertine (1968) |   2.4 stars, 1hr 32m
The Lie (2011) |   2.7 stars, 1hr 21m
The Life & Music of Ronnie Lane: The Passing Show (2006) |   3.7 stars, 1hr
The Life Before Her Eyes (2007) |   3.3 stars, 1hr 29m
The Lincoln Assassination (1995) |   3.8 stars, 52m
The Lincoln Lawyer (2011) |   4 stars, 1hr 58m
The Line (2007) |   3.2 stars, 1hr 32m
The List (2000) |   3 stars, 1hr 31m
The Listening Project (2008) |   3.8 stars, 1hr 13m
The Little Death (2010) |   2.2 stars, 1hr 15m
The Little Engine That Could (2011) |   3.4 stars, 1hr 21m
The Little Fugitive (1953) |   3.4 stars, 1hr 20m
The Little Girl Who Lives Down the Lane (1976) |   3.4 stars, 1hr 32m
The Little Traitor (2007) |   3.9 stars, 1hr 29m
The Littlest Angel (1997) |   3.4 stars, 24m
The Living Daylights (1987) |   3.5 stars, 2hr 10m
The Living Dead Girl (1982) |   2.6 stars, 1hr 31m
The Living Ghost (1942) |   3.3 stars, 1hr 1m
The Living Wake (2007) |   3.3 stars, 1hr 31m
The Local (2008) |   3 stars, 1hr 30m
The Lodger (2009) |   3.2 stars, 1hr 35m
The Lone Gun (1954) |   3.4 stars, 1hr 14m
The Long Day's Dying (1968) |   2.9 stars, 1hr 33m
The Long Good Friday (1980) |   3.4 stars, 1hr 54m
The Long Goodbye (1973) |   3.4 stars, 1hr 52m
The Long Ride Home (2003) |   3.4 stars, 1hr 26m
The Long Shot (2004) |   3.9 stars, 1hr 40m
The Long Walk Home (1990) |   3.9 stars, 1hr 35m
The Long Weekend (2005) |   3.3 stars, 1hr 30m
The Longest Day (1962) |   4 stars, 2hr 58m
The Longest Yard (1974) |   3.6 stars, 2hr 1m
The Longest Yard (2005) |   3.5 stars, 1hr 53m
The Longoria Affair (2010) |   3.6 stars, 51m
The Longshot (1986) |   3.1 stars, 1hr 29m
The Loss of Nameless Things (2006) |   3.5 stars, 1hr 23m
The Lost and Found Family (2009) |   4 stars, 1hr 30m
The Lost City (2005) |   3.2 stars, 2hr 24m
The Lost Moment (1947) |   3.3 stars, 1hr 28m
The Lost Son (1999) |   3.2 stars, 1hr 42m
The Lost Tribe (2010) |   2.8 stars, 1hr 29m
The Lost World (1992) |   3 stars, 1hr 38m
The Lottery (2010) |   3.9 stars, 1hr 20m
The Louisiana Purchase (2003) |   3.8 stars, 45m
The Lovers on the Bridge (1991) |   3.2 stars, 2hr 6m
The Luckiest Man (2008) |   2.4 stars, 1hr 28m
The Lunatic (1991) |   3.3 stars, 1hr 34m
The Mafia, the Salesman (2007) |   3 stars, 1hr 47m
The Magic Bow (1946) |   3 stars, 1hr 45m
The Magic of the Golden Bear: Goldy III (1994) |   3.1 stars, 1hr 44m
The Magic Sword (1962) |   2.9 stars, 1hr 20m
The Maid (2005) |   3.1 stars, 1hr 29m
The Making of South Park: 6 Days to Air (2011) |   4.2 stars, 42m
The Man from Button Willow (1965) |   2.1 stars, 1hr 20m
The Man from Nowhere (2010) |   4.2 stars, 1hr 59m
The Man from Planet X (1951) |   3 stars, 1hr 10m
The Man in the Glass Booth (1975) |   3.1 stars, 1hr 56m
The Man in the Net (1959) |   3.3 stars, 1hr 37m
The Man Nobody Knew: In Search of My Father CIA Spymaster William Colby (2011) |   3.7 stars, 1hr 44m
The Man of the Year (2003) |   3.4 stars, 1hr 45m
The Man on the Train (2011) |   2.7 stars, 1hr 40m
The Man Who Bought Mustique (2000) |   2.8 stars, 1hr 18m
The Man Who Cried (2000) |   3.2 stars, 1hr 39m
The Man Who Fell to Earth (1987) |   2.9 stars, 1hr 37m
The Man Who Fell to Earth (1976) |   3.1 stars, 2hr 19m
The Man Who Loved Women (1977) |   3.1 stars, 1hr 59m
The Man Who Never Was (1956) |   3.7 stars, 1hr 43m
The Man Who Shot Liberty Valance (1962) |   3.9 stars, 2hr 3m
The Man Who Wasn't There (2001) |   3.4 stars, 1hr 56m
The Man Who Wasn't There (1983) |   2.7 stars, 1hr 51m
The Man Who Would Be Polka King (2009) |   3.3 stars, 1hr 7m
The Man with My Face (1951) |   3.1 stars, 1hr 16m
The Man with One Red Shoe (1985) |   3.3 stars, 1hr 32m
The Man with the Golden Gun (1974) |   3.6 stars, 2hr 5m
The Man Without a Body (1958) |   2.8 stars, 1hr 18m
The Manhattan Project (1986) |   3.5 stars, 1hr 57m
The Manster (1959) |   2.9 stars, 1hr 11m
The Manxman (1929) |   3 stars, 1hr 23m
The Marines (2006) |   4 stars, 1hr 25m
The Marinovich Project (2011) |   4 stars, 1hr 20m
The Mark of Cain (2007) |   3 stars, 1hr 31m
The Marriage Chronicles (2011) |   2.9 stars, 1hr 49m
The Masque of the Red Death (1964) |   3.5 stars, 1hr 28m
The Master Gunfighter (1975) |   2.6 stars, 1hr 50m
The Master of Disguise (2002) |   3.4 stars, 1hr 20m
The Match (1999) |   3.3 stars, 1hr 36m
The Mating Season (1951) |   3.9 stars, 1hr 41m
The Maze (1953) |   3 stars, 1hr 20m
The MC: Why We Do It (2004) |   3.4 stars, 1hr 17m
The McVeigh Tapes: Confession of an American Terrorist (2010) |   3.6 stars, 1hr 29m
The Mean Season (1985) |   3.3 stars, 1hr 44m
The Memory Thief (2007) |   2.5 stars, 1hr 34m
The Men (1950) |   3.4 stars, 1hr 26m
The Men's Club (1986) |   2.1 stars, 1hr 41m
The Mentor (2010-2011) |   2.7 stars, 2 Seasons
The Mercenary (1968) |   3.3 stars, 1hr 46m
The Messenger (2009) |   3.4 stars, 1hr 52m
The Michael Vick Project (2010) |   3.4 stars, 1 Season
The Middle of the World (2004) |   3.3 stars, 1hr 25m
The Mighty (1998) |   3.8 stars, 1hr 40m
The Mighty Hercules (1963) |   3 stars, 13 Episodes
The Mighty Jungle (2007) |   3.2 stars, 18 Episodes
The Mighty Macs (2009) |   4 stars, 1hr 38m
The Mighty Peking Man (1977) |   2.6 stars, 1hr 30m
The Mikado (1939) |   3.1 stars, 1hr 30m
The Milagro Beanfield War (1988) |   3.7 stars, 1hr 57m
The Milk of Sorrow (2009) |   3 stars, 1hr 38m
The Mill & The Cross (2011) |   3.1 stars, 1hr 35m
The Mill on the Floss (1997) |   3.2 stars, 2hr 1m
The Mini-Skirt Mob (1968) |   2.6 stars, 1hr 25m
The Minis (2008) |   3.3 stars, 1hr 15m
The Minotaur (1960) |   2.8 stars, 1hr 35m
The Miracle (1991) |   , 1hr 32m
The Miracle of the Bells (1948) |   3.7 stars, 2hr
The Misfortunates (2009) |   2.9 stars, 1hr 49m
The Missing (2003) |   3.6 stars, 2hr 16m
The Missing Lady (1946) |   3.2 stars, 1hr
The Missing Lynx (2008) |   3.5 stars, 1hr 41m
The Missing Person (2009) |   2.8 stars, 1hr 35m
The Mod Squad (1999) |   2.8 stars, 1hr 34m
The Moderns (1988) |   3 stars, 2hr 6m
The Moment After 2: The Awakening (2006) |   3.5 stars, 1hr 29m
The Money Jungle (1968) |   , 1hr 34m
The Monitors (1969) |   2.1 stars, 1hr 29m
The Monkey Hustle (1976) |   3.3 stars, 1hr 30m
The Monster That Challenged the World (1957) |   3 stars, 1hr 24m
The Monte Carlo Story (1957) |   2.7 stars, 1hr 41m
The Mooh Brothers (2010) |   2.7 stars, 1 Season
The Moon in the Gutter (1983) |   2.4 stars, 2hr 18m
The Mostly Unfabulous Social Life of Ethan Green (2006) |   3.2 stars, 1hr 27m
The Moth Diaries (2011) |   3.2 stars, 1hr 22m
The Mother of Invention (2009) |   2.7 stars, 1hr 37m
The Mothman Prophecies (2002) |   3.4 stars, 1hr 58m
The Motorcycle Diaries (2004) |   3.8 stars, 2hr 6m
The Mountain (1956) |   3.6 stars, 1hr 45m
The Mouse on the Moon (1963) |   3.1 stars, 1hr 25m
The Mr. Magoo Show (1964) |   3.5 stars, 26 Episodes
The Mugger (1958) |   2.8 stars, 1hr 14m
The Mummy (1932) |   3.4 stars, 1hr 13m
The Mummy's Curse (1944) |   3.4 stars, 57m
The Mummy's Hand (1940) |   3.4 stars, 1hr 6m
The Munsters (1964-1965) |   3.8 stars, 2 Seasons
The Murders in the Rue Morgue (1986) |   3.2 stars, 1hr 32m
The Muse (1999) |   2.9 stars, 1hr 36m
The Music Box Kid (1960) |   2.9 stars, 1hr 15m
The Music Lovers (1970) |   2.9 stars, 2hr 3m
The Music Never Stopped (2011) |   3.8 stars, 1hr 44m
The Musical () |   ,
The Musketeer (2001) |   3.3 stars, 1hr 44m
The Mysteries of Angels and Demons (2009) |   3.1 stars, 58m
The Mysterious Cities of Gold (2009) |   3.5 stars, 39 Episodes
The Mystery Man (1935) |   3.2 stars, 1hr 2m
The Mystery of Love (2006) |   3.1 stars, 1hr 56m
The Mystery of Mr. Wong (1939) |   3.5 stars, 1hr 10m
The Mystic Masseur (2001) |   2.8 stars, 1hr 58m
The Mystical Adventures of Billy Owens (2008) |   2.8 stars, 1hr 23m
The Myth of the American Sleepover (2010) |   2.8 stars, 1hr 36m
The Naked Brothers Band (2005) |   3.4 stars, 1hr 22m
The Naked City (1948) |   3.6 stars, 1hr 35m
The Naked Man (1998) |   2.6 stars, 1hr 38m
The Naked Street (1955) |   3.2 stars, 1hr 24m
The Naked Truth (1958) |   3.2 stars, 1hr 32m
The Nameless (1999) |   2.9 stars, 1hr 39m
The Names of Love (2010) |   3.6 stars, 1hr 43m
The Nasty Girl (1990) |   3.5 stars, 1hr 34m
The Natural History of the Chicken (2001) |   3.2 stars, 55m
The Nature of Existence (2010) |   3.6 stars, 1hr 33m
The Nature of Existence Companion Series (2011) |   3.7 stars, 7 Episodes
The Navigator (1924) |   3.4 stars, 1hr
The Neighbor (1993) |   3.4 stars, 1hr 32m
The New and Improved DX (2006) |   4.1 stars, 3 Episodes
The New Daughter (2009) |   3.3 stars, 1hr 47m
The New Explorers: Betrayal at Little Big Horn (2005) |   3.6 stars, 45m
The New Girlfriend (1999) |   2.9 stars, 1hr 23m
The New Guy (2002) |   3.5 stars, 1hr 28m
The New Medicine (2006) |   3.6 stars, 1hr 54m
The New Recruits (2010) |   3 stars, 55m
The New Woody Woodpecker Show (1999-2002) |   3.9 stars, 4 Seasons
The Next Three Days (2010) |   3.9 stars, 2hr 13m
The Night and the Moment (1994) |   2.5 stars, 1hr 29m
The Night Caller (1998) |   3.2 stars, 1hr 34m
The Night of the Grizzly (1966) |   3.7 stars, 1hr 41m
The Night of the Hunted (1980) |   2.7 stars, 1hr 32m
The Night of the Hunter (1955) |   3.7 stars, 1hr 32m
The Night Train to Kathmandu (1988) |   3.1 stars, 1hr 42m
The Nightcomers (1972) |   2.8 stars, 1hr 36m
The Nine Lives of Chloe King (2011) |   4.1 stars, 1 Season
The Nine Lives of Fritz the Cat (1974) |   3.2 stars, 1hr 16m
The Nine Lives of Marion Barry (2009) |   3.6 stars, 1hr 18m
The Nines (2007) |   3.3 stars, 1hr 39m
The Noose Hangs High (1948) |   3.7 stars, 1hr 16m
The Norseman (1978) |   2.8 stars, 1hr 30m
The Nostradamus Kid (1993) |   2.5 stars, 2hr
The Nude Set (1957) |   2.1 stars, 1hr 22m
The Nude Vampire (1970) |   2.3 stars, 1hr 21m
The Nurse (1997) |   3.1 stars, 1hr 33m
The Oath (2010) |   3.4 stars, 1hr 36m
The Objective (2008) |   3.3 stars, 1hr 30m
The October Man (1947) |   3.3 stars, 1hr 35m
The Odds (2011) |   2.9 stars, 1hr 31m
The Off Hours (2010) |   2.7 stars, 1hr 34m
The Office (U.K.) (2001-2002) |   3.4 stars, 2 Series
The Office (U.S.) (2005-2011) |   3.9 stars, 8 Seasons
The Official Story (1985) |   3.6 stars, 1hr 53m
The Omega Man (1971) |   3.4 stars, 1hr 37m
The Omen (1976) |   3.6 stars, 1hr 51m
The One (2001) |   3.6 stars, 1hr 27m
The One Percent (2006) |   3.6 stars, 1hr 16m
The One That Got Away (1957) |   3.5 stars, 1hr 51m
The Open Door (2008) |   3.1 stars, 1hr 32m
The Open Road (2005) |   2.9 stars, 54m
The Operative (2000) |   3.1 stars, 1hr 39m
The Opponent (2000) |   3.1 stars, 1hr 30m
The Opposite Sex and How to Live with Them (1992) |   2.7 stars, 1hr 26m
The Orchestra of Piazza Vittorio (2006) |   3 stars, 1hr 34m
The Order of Myths (2008) |   3.3 stars, 1hr 18m
The Oregonian (2011) |   1.8 stars, 1hr 20m
The Other Conquest (2000) |   3.2 stars, 1hr 50m
The Other Half (2006) |   , 1hr 50m
The Other Love (1947) |   3.3 stars, 1hr 32m
The Other Man (2008) |   3.1 stars, 1hr 27m
The Other Side (2006) |   2.9 stars, 1hr 32m
The Other Side of Immigration (2009) |   3.8 stars, 55m
The Other Side of the Mountain (1975) |   3.8 stars, 1hr 42m
The Other Side of the Mountain: Part 2 (1978) |   3.7 stars, 1hr 39m
The Outlaw (1943) |   3 stars, 1hr 56m
The Outside (2009) |   3.4 stars, 1hr 30m
The Outsider (2006) |   3.1 stars, 1hr 24m
The Outsider (1980) |   2.9 stars, 2hr 1m
The Overture (2005) |   3.6 stars, 1hr 40m
The Owls (2009) |   2.1 stars, 1hr 5m
The Oxford Murders (2008) |   3.2 stars, 1hr 48m
The Pack (2010) |   2.9 stars, 1hr 24m
The Pact (1999) |   3.4 stars, 1hr 34m
The Pagan Queen (2009) |   2.8 stars, 1hr 39m
The Palace (2008) |   , 1 Season
The Pallbearer (1996) |   2.5 stars, 1hr 38m
The Panic in Needle Park (1971) |   3.4 stars, 1hr 49m
The Paper (1994) |   3.4 stars, 1hr 51m
The Paranoids (2008) |   2.6 stars, 1hr 45m
The Parking Lot Movie (2010) |   3.5 stars, 1hr 10m
The Parole Officer (2001) |   3.2 stars, 1hr 34m
The Party Crashers (1958) |   2.3 stars, 1hr 16m
The Pass (1998) |   ,
The Passion: According to St. Luke (1981) |   3.2 stars, 51m
The Passion of the Christ (2004) |   3.8 stars, 2hr 6m
The Passionate Friends (1949) |   3.4 stars, 1hr 30m
The Peacekillers (1971) |   2.9 stars, 1hr 26m
The Peacemaker (1956) |   3.3 stars, 1hr 22m
The Peacemaker (1997) |   3.5 stars, 2hr 3m
The Pebble and the Penguin (1995) |   3.6 stars, 1hr 14m
The Penitent Man (2010) |   3.3 stars, 1hr 32m
The People's Palace (2006) |   3.4 stars, 56m
The People vs. George Lucas (2009) |   3.6 stars, 1hr 32m
The Perez Family (1995) |   3.1 stars, 1hr 53m
The Perfect Age of Rock 'n' Roll (2009) |   3.2 stars, 1hr 31m
The Perfect Couple (2007) |   3.5 stars, 1hr 49m
The Perfect Game (2009) |   4.2 stars, 1hr 57m
The Perfect Gift (2011) |   3.5 stars, 1hr 25m
The Perfect Host (2010) |   3.6 stars, 1hr 32m
The Perfect Husband: The Laci Peterson Story (2004) |   3.5 stars, 1hr 24m
The Perfect Student (2012) |   3.2 stars, 1hr 28m
The Perfect Witness (2007) |   3 stars, 1hr 39m
The Personals (1998) |   2.8 stars, 1hr 44m
The Phantom (1996) |   3.3 stars, 1hr 40m
The Phantom of the Opera (1925) |   3.5 stars, 1hr 31m
The Phantom of the Opera (1998) |   2.7 stars, 1hr 39m
The Phantom of the Opera at the Royal Albert Hall (2011) |   4.2 stars, 2hr 40m
The Phantom Plainsmen (1942) |   2.9 stars, 56m
The Philadelphia Experiment (1984) |   3.3 stars, 1hr 41m
The Philadelphia Experiment 2 (1993) |   3 stars, 1hr 38m
The Philosopher Kings (2009) |   3.8 stars, 1hr 9m
The Phoenix and the Carpet (1997) |   2.7 stars, 1hr 28m
The Pianist (2002) |   4.1 stars, 2hr 29m
The Piano (1993) |   3.6 stars, 2hr
The Piano in a Factory (2010) |   , 1hr 45m
The Piano Teacher (2002) |   2.9 stars, 2hr 5m
The Pigeon That Took Rome (1962) |   3 stars, 1hr 41m
The Pink Panther Strikes Again (1976) |   3.6 stars, 1hr 43m
The Pirates of Penzance (1983) |   3.4 stars, 1hr 51m
The Pistol: The Birth of a Legend (1991) |   3.8 stars, 1hr 40m
The Pit (2011) |   3.6 stars, 1hr 1m
The Plague (1992) |   2.9 stars, 1hr 45m
The Planet's Funniest Animals (2008) |   3.4 stars, 1 Season
The Planets (1999) |   4 stars, 1 Season
The Pleasure of Being Robbed (2008) |   2.6 stars, 1hr 9m
The Pleasure of His Company (1961) |   3.6 stars, 1hr 54m
The Pledge (2001) |   3.2 stars, 2hr 3m
The Pluto Files: Nova (2010) |   3.9 stars, 52m
The Poker House (2008) |   3.6 stars, 1hr 33m
The Polar Bear King (1991) |   3.2 stars, 1hr 27m
The Politician's Wife (1995) |   3.8 stars, 3 Episodes
The Pope's Toilet (2007) |   3.4 stars, 1hr 38m
The Possession of David O'Reilly (2010) |   2.7 stars, 1hr 25m
The Power of Forgiveness (2007) |   3.8 stars, 1hr 17m
The President's Mistress (1978) |   , 1hr 34m
The President's Mystery (1936) |   2.5 stars, 1hr 21m
The President's Photographer (2010) |   4 stars, 55m
The Price of Pleasure (2008) |   2.7 stars, 55m
The Princess of Montpensier (2010) |   3.3 stars, 2hr 19m
The Prisoner or: How I Planned to Kill Tony Blair (2006) |   3.2 stars, 1hr 15m
The Private Affairs of Bel Ami (1947) |   3.2 stars, 1hr 51m
The Private Life of Sherlock Holmes (1970) |   3.3 stars, 2hr 5m
The Producers (2005) |   3.2 stars, 2hr 14m
The Producers (1968) |   3.6 stars, 1hr 24m
The Promise (1979) |   3.7 stars, 1hr 36m
The Prophecy: Forsaken (2005) |   3.1 stars, 1hr 15m
The Prophecy 2 (1998) |   3.4 stars, 1hr 23m
The Prophecy 3: The Ascent (2000) |   3.4 stars, 1hr 24m
The Proposal (2001) |   3.2 stars, 1hr 31m
The Proposition (1998) |   3.8 stars, 1hr 51m
The Protectors (2009) |   3 stars, 1 Season
The Proud and the Profane (1956) |   3.3 stars, 1hr 51m
The Pruitt-Igoe Myth (2011) |   3.9 stars, 1hr 23m
The Puck Hogs (2009) |   2.6 stars, 1hr 32m
The Puffy Chair (2005) |   2.7 stars, 1hr 24m
The Punisher (2004) |   3.6 stars, 2hr 3m
The Pursuit of Happyness (2005) |   2.3 stars, 1hr 1m
The Pyramid Code (2009) |   4 stars, 5 Episodes
The Quantum Activist (2009) |   3.6 stars, 1hr 17m
The Quarry (1998) |   2.5 stars, 1hr 49m
The Queen (2009) |   3.7 stars, 1 Season
The Queen and I (2008) |   3.7 stars, 1hr 30m
The Queen of the Damned (2002) |   3.5 stars, 1hr 41m
The Queens of Comedy (2001) |   3.7 stars, 1hr 19m
The Quest (1996) |   3.4 stars, 1hr 34m
The Quickie (2001) |   3 stars, 1hr 35m
The Quiet American (1958) |   3.2 stars, 2hr 1m
The Quiz Show Scandal (2010) |   2.9 stars, 2hr
The Radio City Christmas Spectacular (2007) |   3.5 stars, 1hr 24m
The Rage (1997) |   3.4 stars, 1hr 34m
The Rage in Placid Lake (2003) |   3.5 stars, 1hr 30m
The Ragman's Daughter (1972) |   2.6 stars, 1hr 34m
The Rainbow Tribe (2011) |   3.9 stars, 1hr 29m
The Rally (2010) |   , 1hr 45m
The Ramen Girl (2008) |   3.5 stars, 1hr 42m
The Rape of Europa (2007) |   4 stars, 1hr 56m
The Rape of the Vampire (1968) |   2.3 stars, 1hr 30m
The Rat Race (1960) |   3.3 stars, 1hr 45m
The Reagans (2003) |   3.3 stars, 2 Episodes
The Real Howard Spitz (1998) |   2.6 stars, 1hr 33m
The Real Macaw (1998) |   3.5 stars, 1hr 32m
The Rebound (2009) |   3.8 stars, 1hr 34m
The Recipe (2010) |   3.3 stars, 1hr 44m
The Red and the White (1968) |   3.1 stars, 1hr 30m
The Red Balloon (1956) |   4 stars, 34m
The Red Baron (2008) |   3.7 stars, 1hr 45m
The Red Chapel (2009) |   3.2 stars, 1hr 27m
The Red Violin (1998) |   3.9 stars, 2hr 10m
The Redhead and the Cowboy (1951) |   3.4 stars, 1hr 22m
The Reeds (2009) |   2.8 stars, 1hr 26m
The Reef (2010) |   3.3 stars, 1hr 27m
The Reich Underground (2004) |   3.5 stars, 1hr 44m
The Reinactors (2008) |   3.3 stars, 1hr 35m
The Relic (1997) |   3.3 stars, 1hr 49m
The Replacement Suspect (2001) |   2.6 stars, 1hr 30m
The Republic of Love (2004) |   3 stars, 1hr 36m
The Resident (2011) |   3.4 stars, 1hr 31m
The Resurrected (1992) |   3.1 stars, 1hr 45m
The Retrievers (2001) |   3.8 stars, 1hr 25m
The Return (2003) |   3.5 stars, 1hr 50m
The Return of Count Yorga (1971) |   2.7 stars, 1hr 37m
The Return of Dracula (1958) |   2.9 stars, 1hr 17m
The Return of the Pink Panther (1975) |   3.6 stars, 1hr 52m
The Revolt of the Slaves (1960) |   2.8 stars, 1hr 43m
The Riches (2007-2008) |   3.7 stars, 2 Seasons
The Richie Rich Collection (1996) |   3.4 stars, 1 Season
The Ritchie Boys (2004) |   3.7 stars, 1hr 32m
The Rite of Exorcism: Myths, Mystery & Hope (2011) |   2.8 stars, 52m
The River Murders (2011) |   3.4 stars, 1hr 32m
The River Why (2010) |   3.4 stars, 1hr 44m
The Road to Bali (1952) |   3.5 stars, 1hr 30m
The Road to Hong Kong (1962) |   3.4 stars, 1hr 31m
The Robber (2010) |   3.2 stars, 1hr 37m
The Robe (1953) |   3.6 stars, 2hr 13m
The Rock: The Most Electrifying Man in Sports Entertainment (2008) |   4 stars, 3 Episodes
The Rock-afire Explosion (2008) |   3.6 stars, 1hr 11m
The Rockford Files (1974-1979) |   3.7 stars, 6 Seasons
The Rocking Horse Winner (1950) |   3.1 stars, 1hr 31m
The Rockville Slayer (2004) |   2.6 stars, 1hr 31m
The Romantics (2010) |   2.8 stars, 1hr 36m
The Rookie (1990) |   3.2 stars, 2hr
The Ropes (2012) |   3.9 stars, 1 Season
The Rosebud Beach Hotel (1984) |   2.5 stars, 1hr 22m
The Rugrats Movie (1998) |   3.5 stars, 1hr 19m
The Rum Diary (2011) |   3.2 stars, 1hr 59m
The Russia House (1990) |   3.2 stars, 2hr 3m
The Russians Are Coming, The Russians Are Coming (1966) |   3.6 stars, 2hr 5m
The Ruth Rendell Mysteries (1994-1998) |   3.2 stars, 4 Set
The Ryan White Story (1989) |   4 stars, 1hr 34m
The Sacred Blacksmith (2009) |   3.9 stars, 12 Episodes
The Sad Sack (1957) |   3.7 stars, 1hr 38m
The Saddle Club (2001-2008) |   4 stars, 3 Seasons
The Safety of Objects (2001) |   3.2 stars, 2hr
The Saga of Gosta Berling (1924) |   2.8 stars, 3hr 4m
The Salt of Life (2011) |   2.7 stars, 1hr 29m
The Samba Poet (2006) |   2.8 stars, 1hr 39m
The Samurai Princess (2009) |   2 stars, 1hr 22m
The Sarah Silverman Program (2007-2010) |   3.1 stars, 3 Seasons
